2024-05-09 16:18:39,920 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Configure stats pid to 8864
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Loading settings from /home/zijieshen/.config/wandb/settings
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Loading settings from /home/zijieshen/PycharmProjects/pySEG/examples/wandb/settings
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_init.py:_log_setup():520] Logging user logs to /home/zijieshen/PycharmProjects/pySEG/examples/wandb/run-20240509_161839-okeug1yd/logs/debug.log
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_init.py:_log_setup():521] Logging internal logs to /home/zijieshen/PycharmProjects/pySEG/examples/wandb/run-20240509_161839-okeug1yd/logs/debug-internal.log
2024-05-09 16:18:39,921 INFO    MainThread:8864 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f1167ed6430>
2024-05-09 16:18:39,922 INFO    MainThread:8864 [wandb_init.py:init():560] calling init triggers
2024-05-09 16:18:39,922 INFO    MainThread:8864 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'batch_size': 256, 'lr': 0.001, 'dropout_p': 0.1}
2024-05-09 16:18:39,922 INFO    MainThread:8864 [wandb_init.py:init():610] starting backend
2024-05-09 16:18:39,922 INFO    MainThread:8864 [wandb_init.py:init():614] setting up manager
2024-05-09 16:18:39,925 INFO    MainThread:8864 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-09 16:18:39,927 INFO    MainThread:8864 [wandb_init.py:init():622] backend started and connected
2024-05-09 16:18:39,943 INFO    MainThread:8864 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-05-09 16:18:39,943 INFO    MainThread:8864 [wandb_run.py:_label_probe_notebook():1338] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-09 16:18:39,944 INFO    MainThread:8864 [wandb_init.py:init():711] updated telemetry
2024-05-09 16:18:40,031 INFO    MainThread:8864 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-09 16:18:41,088 INFO    MainThread:8864 [wandb_run.py:_on_init():2396] communicating current version
2024-05-09 16:18:42,669 INFO    MainThread:8864 [wandb_run.py:_on_init():2405] got version response 
2024-05-09 16:18:42,669 INFO    MainThread:8864 [wandb_init.py:init():795] starting run threads in backend
2024-05-09 16:18:44,863 INFO    MainThread:8864 [wandb_run.py:_console_start():2374] atexit reg
2024-05-09 16:18:44,863 INFO    MainThread:8864 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-09 16:18:44,863 INFO    MainThread:8864 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-09 16:18:44,863 INFO    MainThread:8864 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-09 16:18:44,864 INFO    MainThread:8864 [wandb_init.py:init():838] run started, returning control to user process
2024-05-09 16:19:46,343 INFO    MainThread:8864 [wandb_run.py:_finish():2103] finishing run uestc-cd/mnist_torchkeras/okeug1yd
2024-05-09 16:19:48,674 INFO    MainThread:8864 [jupyter.py:save_history():474] saving 12 cells to _session_history.ipynb
2024-05-09 16:19:48,738 INFO    MainThread:8864 [wandb_run.py:_config_callback():1376] config_cb ('_wandb', 'session_history') code/_session_history.ipynb None
2024-05-09 16:19:49,418 INFO    MainThread:8864 [jupyter.py:_save_ipynb():384] looking for notebook: None
2024-05-09 16:19:49,419 INFO    MainThread:8864 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-05-09 16:19:49,419 INFO    MainThread:8864 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-09 16:19:49,419 INFO    MainThread:8864 [wandb_run.py:_restore():2326] restore
2024-05-09 16:19:49,419 INFO    MainThread:8864 [wandb_run.py:_restore():2332] restore done
2024-05-09 16:19:56,345 INFO    MainThread:8864 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-09 16:19:56,346 INFO    MainThread:8864 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-09 16:19:56,358 INFO    MainThread:8864 [wandb_run.py:_footer_sync_info():3953] logging synced files
